course_id,difficulty_score,confidence,difficulty_score_raw
PHYSICS113A,9.54942084942085,high,8.517797453989775
PHYSICS113B,9.235521235521235,high,8.039088994651838
PHYSICS113C,9.174131274131273,high,7.9451464342775555
PHYSICS115A,9.368725868725868,high,8.224510843978939
PHYSICS115B,7.831660231660232,medium,6.698488846545
PHYSICS116,9.103474903474902,high,7.87107426903099
PHYSICS12,5.176833976833977,high,5.508584632913307
PHYSICS120,7.31969111969112,high,6.484774305292201
PHYSICS121W,6.188030888030887,high,5.813418221043258
PHYSICS125A,8.961003861003862,high,7.71825629112402
PHYSICS125B,8.482625482625483,high,7.257817493047961
PHYSICS133,9.585328185328185,high,8.568810010374914
PHYSICS134A,9.393050193050193,high,8.282554034379704
PHYSICS135,9.56042471042471,medium,8.53294201515611
PHYSICS136,9.518146718146719,high,8.467742271994661
PHYSICS137,8.68996138996139,high,7.478329258155814
PHYSICS138,9.642084942084942,medium,8.643075792489968
PHYSICS139,8.806949806949806,high,7.579279665148178
PHYSICS14,7.448262548262549,high,6.565788499492124
PHYSICS143A,9.397683397683398,medium,8.291385575910963
PHYSICS143B,9.71969111969112,low,8.777056605978196
PHYSICS144,9.010810810810812,high,7.774701246428581
PHYSICS145,8.842857142857143,high,7.612165669146456
PHYSICS146A,9.218146718146718,medium,8.006786591869597
PHYSICS146B,8.183783783783785,high,6.921254795974763
PHYSICS147A,9.223938223938225,medium,8.01807721599563
PHYSICS147B,8.435135135135134,low,7.201524219110404
PHYSICS147C,9.086679536679537,medium,7.860302147619473
PHYSICS15,8.517374517374517,high,7.292077715970949
PHYSICS150,7.657915057915058,high,6.663176594406307
PHYSICS17,9.554054054054054,high,8.525029820556012
PHYSICS18,9.788030888030889,high,8.904493630029304
PHYSICS19,9.157915057915059,medium,7.925712443394363
PHYSICS191,1.5571428571428572,medium,2.6291261031825517
PHYSICS192,4.448262548262548,medium,5.227338006584804
PHYSICS193,1.9625482625482626,medium,3.250738551809143
PHYSICS194,7.4772200772200765,high,6.577907471735787
PHYSICS195,2.1652509652509653,medium,3.497472808802889
PHYSICS196A,2.0783783783783782,medium,3.395208722632251
PHYSICS196B,2.385328185328185,medium,3.7314747675116196
PHYSICS196C,2.0795366795366794,medium,3.3958223669222893
PHYSICS196CW,2.296138996138996,medium,3.6237390533957403
PHYSICS197W,2.3702702702702703,medium,3.7149779623951518
PHYSICS199,7.1633204633204635,medium,6.373582977059792
PHYSICS2,8.883397683397682,high,7.641710392416975
PHYSICS206,8.596718146718146,medium,7.386186306341401
PHYSICS207,9.272007722007721,medium,8.078405351020669
PHYSICS208,7.8432432432432435,medium,6.700219689984632
PHYSICS20A,8.998069498069498,high,7.758072374458187
PHYSICS20B,7.6764478764478765,high,6.670797481748577
PHYSICS20C,8.766409266409266,medium,7.5449508746876495
PHYSICS20D,5.274131274131274,high,5.535842801921485
PHYSICS20E,7.324324324324325,high,6.487025244855957
PHYSICS21,6.4138996138996145,medium,5.917693542630627
PHYSICS211,9.30965250965251,high,8.117677246857932
PHYSICS212A,9.075675675675676,high,7.852054524780688
PHYSICS212B,9.562162162162164,medium,8.534193954765053
PHYSICS213A,8.714285714285714,high,7.498246880204377
PHYSICS213B,8.427027027027027,high,7.18742452070558
PHYSICS213C,9.203088803088804,medium,7.978809525563305
PHYSICS214A,8.266023166023166,high,7.018850927252748
PHYSICS214B,9.587644787644788,medium,8.572652829664266
PHYSICS214C,8.314671814671815,high,7.061455242375921
PHYSICS215A,8.167567567567566,high,6.900034326735344
PHYSICS215B,8.411969111969112,high,7.174114526619903
PHYSICS215C,9.321235521235522,medium,8.131464311583114
PHYSICS220,8.0980694980695,medium,6.819475225071535
PHYSICS222,7.507335907335907,high,6.595467676797505
PHYSICS223,8.740926640926642,high,7.521239355730839
PHYSICS228,9.433590733590734,medium,8.34176364730772
PHYSICS229A,8.645366795366796,medium,7.438528764250688
PHYSICS229B,8.550965250965252,medium,7.327325352584538
PHYSICS230A,8.795366795366796,high,7.57323955018191
PHYSICS230B,8.494208494208493,medium,7.2706508101248986
